,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
538,Jonathan Perez,mx MEX,DF,LA Galaxy,19-224,2003,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,41e57408
539,Jordan Perruzza,ca CAN,FWMF,Toronto FC,21-226,2001,13,1,232,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.6,0.17,0.05,0.22,0.17,0.22,Matches,edc8791f
540,Luca Petrasso,ca CAN,DFFW,Toronto FC,22-075,2000,21,20,1600,17.8,0,2,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,0.7,0.7,1.9,2.6,0.04,0.11,0.15,0.04,0.15,Matches,fafeaf3d
541,Đorđe Petrović,rs SRB,GK,New England,22-326,1999,14,14,1260,14.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,0cf321c8
542,Fafà Picault,us USA,FWMF,Houston Dynamo,31-188,1991,23,19,1738,19.3,5,2,4,1,1,4,0,0.26,0.10,0.36,0.21,0.31,6.0,5.2,2.0,7.3,0.31,0.11,0.42,0.27,0.38,Matches,dbaa10c0
543,Kayden Pierre,us USA,DF,Sporting KC,19-195,2003,13,5,570,6.3,0,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,0.0,0.0,0.4,0.4,0.00,0.06,0.06,0.00,0.06,Matches,2f5f098b
544,Samuel Piette,ca CAN,MF,CF Montréal,27-291,1994,19,10,1006,11.2,0,3,0,0,0,3,0,0.00,0.27,0.27,0.00,0.27,0.2,0.2,1.2,1.4,0.02,0.11,0.13,0.02,0.13,Matches,bc33c73b
545,Mauricio Pineda,us USA,MFDF,Chicago Fire,24-317,1997,20,17,1465,16.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.6,2.1,0.09,0.04,0.13,0.09,0.13,Matches,e0c17cde
546,Donovan Pines,us USA,DF,D.C. United,24-176,1998,15,10,919,10.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.1,1.2,0.11,0.01,0.11,0.11,0.11,Matches,7bd25363
547,Matt Polster,us USA,MF,New England,29-083,1993,22,18,1609,17.9,2,0,2,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.4,1.7,0.08,0.02,0.10,0.08,0.10,Matches,d1d418f8
548,Paxton Pomykal,us USA,MF,FC Dallas,22-256,1999,28,25,2040,22.7,0,2,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,1.0,1.0,1.9,2.9,0.04,0.08,0.13,0.04,0.13,Matches,c1f0fb45
549,Alvas Powell,jm JAM,DF,FC Cincinnati,28-043,1994,22,18,1481,16.5,0,2,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.8,0.8,0.6,1.4,0.05,0.04,0.09,0.05,0.09,Matches,2f91124d
550,Alejandro Pozuelo,es ESP,MFFW,Inter Miami,30-344,1991,8,8,615,6.8,2,2,2,0,0,1,1,0.29,0.29,0.59,0.29,0.59,1.0,1.0,2.9,3.8,0.14,0.42,0.56,0.14,0.56,Matches,5e1280ff
551,Alejandro Pozuelo,es ESP,MFFW,Toronto FC,30-344,1991,16,16,1404,15.6,4,4,3,1,2,3,0,0.26,0.26,0.51,0.19,0.45,4.5,2.9,3.4,6.3,0.29,0.22,0.50,0.19,0.40,Matches,5e1280ff
552,Jack Price,eng ENG,MF,Colorado Rapids,29-254,1992,14,13,986,11.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,2.1,2.1,0.00,0.19,0.19,0.00,0.19,Matches,6217c92d
553,Ralph Priso-Mbongue,ca CAN,MF,Colorado Rapids,20-028,2002,4,3,187,2.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.06,0.06,0.00,0.06,Matches,acb3e899
554,Ralph Priso-Mbongue,ca CAN,MF,Toronto FC,20-028,2002,10,4,278,3.1,1,0,1,0,0,2,1,0.32,0.00,0.32,0.32,0.32,0.1,0.1,0.1,0.2,0.04,0.03,0.07,0.04,0.07,Matches,acb3e899
555,Kacper Przybyłko,pl POL,FW,Chicago Fire,29-158,1993,23,17,1534,17.0,5,1,5,0,0,3,0,0.29,0.06,0.35,0.29,0.35,7.2,7.2,1.8,9.0,0.42,0.11,0.53,0.42,0.53,Matches,4c53a714
556,Riqui Puig,es ESP,MFFW,LA Galaxy,23-017,1999,2,1,119,1.3,0,1,0,0,0,0,0,0.00,0.76,0.76,0.00,0.76,0.1,0.1,0.5,0.6,0.09,0.36,0.46,0.09,0.46,Matches,f090a37a
557,John Pulskamp,us USA,GK,Sporting KC,21-133,2001,8,7,668,7.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6b306c92
558,Facundo Quignon,ar ARG,MF,FC Dallas,29-120,1993,20,13,1140,12.7,1,0,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,1.4,1.4,1.0,2.4,0.11,0.08,0.19,0.11,0.19,Matches,5b33b84c
559,Nelson Quiñones,co COL,MF,Houston Dynamo,20-010,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a295f0b3
560,Joshué Quiñónez,ec ECU,DF,FC Dallas,21-340,2000,6,1,92,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.04,0.04,0.00,0.04,Matches,c7305b1d
561,Darwin Quintero,co COL,MFFW,Houston Dynamo,34-345,1987,26,17,1477,16.4,7,2,6,1,1,4,0,0.43,0.12,0.55,0.37,0.49,4.8,4.1,6.5,10.6,0.30,0.40,0.69,0.25,0.65,Matches,0cc00553
562,Jairo Quinteros,bo BOL,DF,Inter Miami,21-204,2001,4,2,282,3.1,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches,8363a7e8
563,Romell Quioto,hn HON,FW,CF Montréal,31-021,1991,25,20,1670,18.6,15,4,11,4,5,4,1,0.81,0.22,1.02,0.59,0.81,12.7,8.8,3.8,12.6,0.68,0.21,0.89,0.47,0.68,Matches,122e850d
564,Jackson Ragen,us USA,DF,Seattle,23-340,1998,19,12,1186,13.2,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.7,0.03,0.02,0.05,0.03,0.05,Matches,a3d67f70
565,Ryan Raposo,ca CAN,DF,Vancouver,23-178,1999,27,16,1362,15.1,2,1,2,0,0,2,0,0.13,0.07,0.20,0.13,0.20,1.2,1.2,1.6,2.8,0.08,0.10,0.18,0.08,0.18,Matches,f006a9b3
566,Justin Rasmussen,us USA,DF,Portland Timbers,23-258,1998,9,7,646,7.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matches,989ecf23
567,Rayan Raveloson,mg MAD,MF,LA Galaxy,25-226,1997,22,21,1781,19.8,3,2,3,0,0,4,0,0.15,0.10,0.25,0.15,0.25,3.8,3.8,1.2,4.9,0.19,0.06,0.25,0.19,0.25,Matches,fb3236a7
568,Matthew Real,us USA,MF,Philadelphia,23-051,1999,5,0,16,0.2,1,0,1,0,0,0,0,5.63,0.00,5.63,5.63,5.63,0.1,0.1,0.0,0.1,0.45,0.00,0.45,0.45,0.45,Matches,1c2c030a
569,Rodney Redes,py PAR,FWMF,Austin,22-189,2000,11,0,167,1.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.20,0.00,0.20,0.20,0.20,Matches,426c3982
570,Benjamin Redzic,us USA,MFFW,FC Dallas,19-338,2002,5,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.20,0.07,0.27,0.20,0.27,Matches,ea8087aa
571,Pierre Reedy,us USA,MF,Real Salt Lake,24-231,1998,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,903f2d95
572,Eric Remedi,ar ARG,MF,San Jose,27-087,1995,20,15,1164,12.9,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.7,0.02,0.03,0.05,0.02,0.05,Matches,38e2cbd6
573,Justin Rennicks,us USA,FW,New England,23-163,1999,13,10,689,7.7,2,0,2,0,0,0,0,0.26,0.00,0.26,0.26,0.26,1.7,1.7,0.1,1.8,0.22,0.01,0.23,0.22,0.23,Matches,0aaa1c04
574,Ben Reveno,us USA,MF,New England,23-154,1999,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6f0a801a
575,Andrés Reyes,co COL,DF,NY Red Bulls,22-356,1999,6,3,291,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,36ab14f5
576,Yordy Reyna,pe PER,FWMF,Charlotte,28-347,1993,16,9,752,8.4,3,2,3,0,0,0,0,0.36,0.24,0.60,0.36,0.60,2.1,2.1,1.3,3.4,0.25,0.15,0.40,0.25,0.40,Matches,eec316d9
577,Andre Reynolds II,us USA,DFMF,Chicago Fire,21-120,2001,7,1,178,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,d46dbe4f
578,Emanuel Reynoso,ar ARG,MFFW,Minnesota Utd,26-287,1995,25,25,2186,24.3,10,4,7,3,4,9,0,0.41,0.16,0.58,0.29,0.45,7.0,3.8,6.3,10.1,0.29,0.26,0.55,0.16,0.42,Matches,614b26e3
579,Will Richmond,us USA,FW,San Jose,22-146,2000,2,0,45,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches,e46ee2e9
580,Tosaint Ricketts,ca CAN,FWMF,Vancouver,35-024,1987,18,2,400,4.4,3,1,3,0,0,0,0,0.68,0.23,0.90,0.68,0.90,2.0,2.0,0.4,2.4,0.45,0.09,0.54,0.45,0.54,Matches,54769358
581,Alexander Ring,fi FIN,MF,Austin,31-143,1991,27,27,2305,25.6,4,3,4,0,0,5,0,0.16,0.12,0.27,0.16,0.27,4.1,4.1,3.0,7.2,0.16,0.12,0.28,0.16,0.28,Matches,6c1221d6
582,Rocco Ríos Novo,ar ARG,GK,Atlanta Utd,20-087,2002,14,14,1260,14.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f59bd2d3
583,Damien Rivera,us USA,FWMF,New England,19-265,2002,11,4,381,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.6,0.6,0.3,0.9,0.14,0.07,0.21,0.14,0.21,Matches,2822f3dd
584,Nigel Robertha,nl NED,FWMF,D.C. United,24-198,1998,14,5,644,7.2,1,3,1,0,0,2,0,0.14,0.42,0.56,0.14,0.56,0.7,0.7,1.5,2.2,0.09,0.21,0.31,0.09,0.31,Matches,a94bad97
585,Miles Robinson,us USA,DF,Atlanta Utd,25-169,1997,9,8,659,7.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.04,0.00,0.04,0.04,0.04,Matches,782a95d9
586,Robbie Robinson,us USA,FWMF,Inter Miami,23-256,1998,8,6,485,5.4,1,1,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.7,1.2,0.09,0.14,0.22,0.09,0.22,Matches,e0dae99f
587,Harrison Robledo,us USA,MFDF,FC Cincinnati,20-203,2002,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.15,0.15,0.00,0.15,Matches,1f36ce15
588,Abraham Rodriguez,us USA,GK,Colorado Rapids,20-042,2002,1,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c7e14787
589,Brian Rodríguez,uy URU,FW,Los Angeles FC,22-102,2000,14,10,819,9.1,2,3,2,0,0,1,0,0.22,0.33,0.55,0.22,0.55,2.7,2.7,1.6,4.3,0.30,0.17,0.47,0.30,0.47,Matches,c86041d7
590,Emerson Rodríguez,co COL,FWMF,Inter Miami,22-005,2000,19,1,472,5.2,2,0,2,0,0,2,0,0.38,0.00,0.38,0.38,0.38,1.9,1.9,0.8,2.7,0.37,0.15,0.51,0.37,0.51,Matches,09e5ae16
591,Martín Rodríguez,cl CHI,FWMF,D.C. United,28-025,1994,8,5,481,5.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.6,0.03,0.08,0.12,0.03,0.12,Matches,c075b5f0
592,Memo Rodriguez,us USA,MFFW,Houston Dynamo,26-246,1995,25,16,1305,14.5,0,3,0,0,0,5,0,0.00,0.21,0.21,0.00,0.21,1.5,1.5,1.9,3.4,0.10,0.13,0.23,0.10,0.23,Matches,fc6c6b2b
593,Santiago Rodríguez,uy URU,MFFW,NYCFC,22-234,2000,25,24,1999,22.2,3,9,3,0,0,9,0,0.14,0.41,0.54,0.14,0.54,5.6,5.6,6.0,11.6,0.25,0.27,0.52,0.25,0.52,Matches,86dff811
594,Alex Roldan,sv SLV,DF,Seattle,26-033,1996,26,23,2098,23.3,1,4,1,0,0,5,1,0.04,0.17,0.21,0.04,0.21,0.2,0.2,3.2,3.5,0.01,0.14,0.15,0.01,0.15,Matches,1255a82a
595,Cristian Roldan,us USA,FWMF,Seattle,27-088,1995,23,20,1901,21.1,4,4,4,0,0,2,0,0.19,0.19,0.38,0.19,0.38,3.9,3.9,3.7,7.6,0.19,0.17,0.36,0.19,0.36,Matches,48875649
596,Jhohan Romaña,co COL,DF,Austin,23-351,1998,5,1,114,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.03,0.10,0.07,0.10,Matches,4e32c2d6
597,David Romney,us USA,DF,Nashville,29-079,1993,26,25,2199,24.4,3,2,3,0,0,1,0,0.12,0.08,0.20,0.12,0.20,2.4,2.4,0.5,2.8,0.10,0.02,0.12,0.10,0.12,Matches,b7b6e781
598,Rafael Romo,ve VEN,GK,D.C. United,32-186,1990,14,13,1212,13.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches,8827c189
599,Eloy Room,cw CUW,GK,Columbus Crew,33-205,1989,26,26,2340,26.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6b33d86b
600,Joseph Rosales,hn HON,MF,Minnesota Utd,21-297,2000,19,6,839,9.3,0,2,0,0,0,5,1,0.00,0.21,0.21,0.00,0.21,0.4,0.4,0.3,0.7,0.04,0.03,0.08,0.04,0.08,Matches,6a29d06b
601,Oriol Rosell,es ESP,MF,Sporting KC,30-054,1992,16,13,864,9.6,0,1,0,0,0,5,1,0.00,0.10,0.10,0.00,0.10,0.2,0.2,0.3,0.5,0.02,0.03,0.05,0.02,0.05,Matches,2a17ef3e
602,Keegan Rosenberry,us USA,DF,Colorado Rapids,28-262,1993,27,26,2331,25.9,1,1,1,0,0,4,0,0.04,0.04,0.08,0.04,0.08,0.6,0.6,2.1,2.7,0.02,0.08,0.10,0.02,0.10,Matches,f940c69e
603,Matheus Rossetto,br BRA,MF,Atlanta Utd,26-088,1996,20,18,1474,16.4,0,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.5,1.0,0.03,0.03,0.06,0.03,0.06,Matches,daf8c775
604,Paul Rothrock,us USA,FW,Toronto FC,23-233,1999,2,0,34,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,875e8269
605,Kelyn Rowe,us USA,DFMF,Seattle,30-271,1991,23,13,1160,12.9,1,0,1,0,0,7,1,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.4,0.9,0.04,0.03,0.07,0.04,0.07,Matches,cf928adb
606,Ruan,br BRA,DF,Orlando City,27-093,1995,24,24,2006,22.3,2,1,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,0.6,0.6,2.8,3.4,0.03,0.12,0.15,0.03,0.15,Matches,f2665f7c
607,Rubio Rubin,us USA,FW,Real Salt Lake,26-182,1996,18,4,609,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.4,1.4,0.2,1.7,0.21,0.03,0.25,0.21,0.25,Matches,9bad7100
608,Diego Rubio,cl CHI,MFFW,Colorado Rapids,29-107,1993,23,21,1862,20.7,12,5,9,3,3,8,1,0.58,0.24,0.82,0.44,0.68,9.4,7.1,4.9,12.0,0.46,0.24,0.69,0.34,0.58,Matches,3f082234
609,Raúl Ruidíaz,pe PER,FW,Seattle,32-036,1990,14,10,943,10.5,6,1,5,1,1,0,0,0.57,0.10,0.67,0.48,0.57,4.6,3.8,1.0,4.8,0.44,0.09,0.53,0.36,0.46,Matches,7a4296e1
610,Pablo Ruíz,ar ARG,MF,Real Salt Lake,23-253,1998,24,24,2050,22.8,2,4,1,1,1,9,0,0.09,0.18,0.26,0.04,0.22,3.4,2.6,3.6,6.2,0.15,0.16,0.31,0.11,0.27,Matches,7368cd70
611,Sergio Ruiz,es ESP,MF,Charlotte,27-257,1994,18,7,723,8.0,1,2,1,0,0,2,0,0.12,0.25,0.37,0.12,0.37,0.8,0.8,1.6,2.3,0.10,0.19,0.29,0.10,0.29,Matches,1f423a54
612,Albert Rusnák,sk SVK,MF,Seattle,28-054,1994,25,23,1998,22.2,2,0,2,0,0,1,0,0.09,0.00,0.09,0.09,0.09,2.0,2.0,1.4,3.4,0.09,0.06,0.15,0.09,0.15,Matches,0adeafaa
613,Johnny Russell,sct SCO,FWMF,Sporting KC,32-144,1990,27,26,2249,25.0,7,0,5,2,3,4,0,0.28,0.00,0.28,0.20,0.20,6.8,4.5,3.0,7.5,0.27,0.12,0.39,0.18,0.30,Matches,a30e1562
614,Jacen Russell-Rowe,ca CAN,FW,Columbus Crew,19-351,2002,5,3,207,2.3,0,2,0,0,0,1,0,0.00,0.87,0.87,0.00,0.87,0.1,0.1,0.6,0.7,0.06,0.25,0.31,0.06,0.31,Matches,b33c6ed5
615,Zach Ryan,us USA,FW,NY Red Bulls,23-228,1999,6,0,43,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.6,1.22,0.14,1.36,1.22,1.36,Matches,74ba46bc
616,Ryan Sailor,us USA,DF,Inter Miami,23-276,1998,17,11,1190,13.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.03,0.00,0.03,0.03,0.03,Matches,4924d9bb
617,Carlos Salcedo,mx MEX,DF,Toronto FC,28-335,1993,13,13,1153,12.8,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.3,0.01,0.01,0.03,0.01,0.03,Matches,64c07ae1
618,Shea Salinas,us USA,FWDF,San Jose,36-067,1986,10,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.10,0.03,0.13,0.10,0.13,Matches,4c10838d
619,Dániel Sallói,hu HUN,FWMF,Sporting KC,26-042,1996,23,22,1996,22.2,6,1,6,0,1,1,1,0.27,0.05,0.32,0.27,0.32,4.8,4.1,2.3,6.4,0.22,0.11,0.32,0.18,0.29,Matches,6fcddf5f
620,Gaoussou Samaké,ci CIV,DF,D.C. United,24-299,1997,3,1,112,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.10,0.10,0.00,0.10,Matches,ae760cf4
621,Ilie Sánchez,es ESP,MF,Los Angeles FC,31-282,1990,26,23,2098,23.3,1,0,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,0.7,0.7,1.7,2.4,0.03,0.07,0.10,0.03,0.10,Matches,72979f65
622,William Sands,us USA,DF,Columbus Crew,22-055,2000,6,1,284,3.2,0,1,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,0.0,0.0,0.1,0.2,0.01,0.05,0.05,0.01,0.05,Matches,960a4473
623,Sergio Santos Gomes,br BRA,FW,FC Cincinnati,27-360,1994,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.5,1.27,0.62,1.89,1.27,1.89,Matches,a930b263
624,Sergio Santos Gomes,br BRA,FW,Philadelphia,27-360,1994,11,8,608,6.8,1,3,1,0,0,2,0,0.15,0.44,0.59,0.15,0.59,2.2,2.2,3.3,5.5,0.33,0.49,0.81,0.33,0.81,Matches,a930b263
625,Koa Santos,us USA,MF,Charlotte,22-343,1999,1,1,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,c09ddc5e
626,Pedro Santos,pt POR,DF,Columbus Crew,34-130,1988,24,24,1968,21.9,1,2,1,0,1,5,0,0.05,0.09,0.14,0.05,0.14,1.6,0.8,2.3,3.1,0.07,0.10,0.18,0.04,0.14,Matches,789da0f2
627,C.J. Sapong,us USA,FW,Nashville,33-246,1988,27,25,2093,23.3,5,5,5,0,0,4,0,0.22,0.22,0.43,0.22,0.43,7.5,7.5,3.5,11.0,0.32,0.15,0.47,0.32,0.47,Matches,ef4e4c5d
628,Jefferson Savarino,ve VEN,MFFW,Real Salt Lake,25-292,1996,13,11,1013,11.3,5,3,5,0,0,1,0,0.44,0.27,0.71,0.44,0.71,3.4,3.4,3.6,6.9,0.30,0.32,0.61,0.30,0.61,Matches,91721722
629,Rodrigo Schlegel,ar ARG,DF,Orlando City,25-149,1997,22,16,1538,17.1,1,0,1,0,0,7,1,0.06,0.00,0.06,0.06,0.06,0.7,0.7,0.2,0.9,0.04,0.01,0.05,0.04,0.05,Matches,5bb02df4
630,Tate Schmitt,us USA,DF,Real Salt Lake,25-094,1997,14,10,860,9.6,2,1,2,0,0,4,0,0.21,0.10,0.31,0.21,0.31,0.5,0.5,0.4,0.9,0.05,0.04,0.09,0.05,0.09,Matches,fa21bbc8
631,Alessandro Schöpf,at AUT,FWMF,Vancouver,28-204,1994,4,3,186,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matches,106bca06
632,Eddie Segura,co COL,DF,Los Angeles FC,25-209,1997,9,3,410,4.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches,c70e3fe0
633,Amar Sejdic,us USA,MF,Atlanta Utd,25-274,1996,17,13,904,10.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.5,0.8,0.03,0.05,0.08,0.03,0.08,Matches,43ca2019
634,Boris Sekulić,sk SVK,DF,Chicago Fire,30-313,1991,26,25,2224,24.7,0,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,0.7,0.7,2.1,2.8,0.03,0.08,0.11,0.03,0.11,Matches,adf26bd4
635,Brandon Servania,us USA,MF,FC Dallas,23-171,1999,21,15,1281,14.2,2,3,2,0,0,7,2,0.14,0.21,0.35,0.14,0.35,1.6,1.6,1.7,3.2,0.11,0.12,0.23,0.11,0.23,Matches,4d825a2d
636,Jacob Shaffelburg,ca CAN,DFFW,Toronto FC,22-277,1999,13,6,581,6.5,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.7,0.7,0.1,0.7,0.10,0.01,0.11,0.10,0.11,Matches,339a2561
637,Jacob Shaffelburg,ca CAN,MFFW,Nashville,22-277,1999,2,1,71,0.8,1,0,1,0,0,0,0,1.27,0.00,1.27,1.27,1.27,0.2,0.2,0.0,0.2,0.21,0.00,0.21,0.21,0.21,Matches,339a2561
638,Xherdan Shaqiri,ch SUI,MF,Chicago Fire,30-324,1991,23,23,1860,20.7,4,7,2,2,2,4,0,0.19,0.34,0.53,0.10,0.44,4.1,2.5,6.6,9.1,0.20,0.32,0.52,0.12,0.44,Matches,6421ec64
639,Brek Shea,us USA,DF,Inter Miami,32-183,1990,3,2,147,1.6,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.07,0.07,0.00,0.07,Matches,adb6ae24
640,Khiry Shelton,us USA,FW,Sporting KC,29-065,1993,20,14,1338,14.9,0,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,1.8,1.8,0.7,2.4,0.12,0.04,0.16,0.12,0.16,Matches,f935709c
641,Andre Shinyashiki,br BRA,FWMF,Colorado Rapids,27-080,1995,8,2,216,2.4,1,0,1,0,0,1,0,0.42,0.00,0.42,0.42,0.42,0.9,0.9,0.5,1.4,0.37,0.19,0.56,0.37,0.56,Matches,8c395868
642,Andre Shinyashiki,br BRA,FWMF,Charlotte,27-080,1995,15,7,695,7.7,5,0,5,0,0,2,0,0.65,0.00,0.65,0.65,0.65,3.1,3.1,0.2,3.4,0.40,0.03,0.44,0.40,0.44,Matches,8c395868
643,Bobby Shuttleworth,us USA,GK,Atlanta Utd,35-109,1987,7,6,558,6.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4598ac94
644,Marcelo Silva,uy URU,DF,Real Salt Lake,33-162,1989,25,25,2234,24.8,2,0,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.6,1.6,0.1,1.7,0.06,0.00,0.07,0.06,0.07,Matches,b9596515
645,Jack Skahan,us USA,DFMF,San Jose,24-204,1998,8,0,74,0.8,1,0,1,0,0,0,0,1.22,0.00,1.22,1.22,1.22,0.1,0.1,0.4,0.5,0.07,0.52,0.60,0.07,0.60,Matches,9c07bdc7
646,Drew Skundrich,us USA,MFDF,D.C. United,26-347,1995,18,9,838,9.3,0,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,0.1,0.1,0.2,0.3,0.02,0.02,0.04,0.02,0.04,Matches,51f50135
